Date : 2021-01-16 21:02:29
Directory : /Users/simonwachtler/digitales-register
Total : 231 files,  14532 codes, 856 comments, 1547 blanks, all 16935 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| ios/Runner/Assets.xcassets/LaunchImage.imageset                                                                                                    |          2 |         59 |          0 |          3 |         62 |
| ios/Runner/Base.lproj                                                                                                                              |          2 |         69 |          2 |          1 |         72 |
| lib                                                                                                                                                |        101 |      9,799 |        104 |        927 |     10,830 |
| lib/actions                                                                                                                                        |         13 |        410 |          3 |         93 |        506 |
| lib/container                                                                                                                                      |         25 |      1,220 |          3 |        155 |      1,378 |
| lib/middleware                                                                                                                                     |         12 |      1,315 |          8 |        122 |      1,445 |
| lib/reducer                                                                                                                                        |         13 |      1,149 |         18 |        136 |      1,303 |
| lib/ui                                                                                                                                             |         31 |      4,292 |         19 |        251 |      4,562 |
| linux                                                                                                                                              |          7 |        104 |         25 |         36 |        165 |
| linux/appData                                                                                                                                      |          2 |          2 |          0 |          0 |          2 |
| linux/appData/secure_storage                                                                                                                       |          2 |          2 |          0 |          0 |          2 |
| linux/flutter                                                                                                                                      |          2 |         16 |          7 |          9 |         32 |
| macos                                                                                                                                              |          9 |        574 |          3 |         12 |        589 |
| macos/Flutter                                                                                                                                      |          5 |        147 |          3 |          4 |        154 |
| macos/Flutter/ephemeral                                                                                                                            |          4 |        133 |          0 |          0 |        133 |
| macos/Flutter/ephemeral/.symlinks                                                                                                                  |          4 |        133 |          0 |          0 |        133 |
| macos/Flutter/ephemeral/.symlinks/plugins                                                                                                          |          4 |        133 |          0 |          0 |        133 |
| macos/Flutter/ephemeral/.symlinks/plugins/biometric_storage                                                                                        |          4 |        133 |          0 |          0 |        133 |
| macos/Flutter/ephemeral/.symlinks/plugins/biometric_storage/.idea                                                                                  |          4 |        133 |          0 |          0 |        133 |
| macos/Flutter/ephemeral/.symlinks/plugins/biometric_storage/.idea/codeStyles                                                                       |          2 |        121 |          0 |          0 |        121 |
| macos/Flutter/ephemeral/.symlinks/plugins/biometric_storage/.idea/runConfigurations                                                                |          1 |          6 |          0 |          0 |          6 |
| macos/Runner                                                                                                                                       |          4 |        427 |          0 |          8 |        435 |
| macos/Runner/Assets.xcassets                                                                                                                       |          1 |         68 |          0 |          1 |         69 |
| macos/Runner/Assets.xcassets/AppIcon.appiconset                                                                                                    |          1 |         68 |          0 |          1 |         69 |
| macos/Runner/Base.lproj                                                                                                                            |          1 |        339 |          0 |          1 |        340 |
| packages                                                                                                                                           |         72 |      2,764 |        605 |        432 |      3,801 |
| packages/biometric_storage                                                                                                                         |          1 |          2 |          0 |          0 |          2 |
| packages/biometric_storage/android                                                                                                                 |          1 |          2 |          0 |          0 |          2 |
| packages/collapsible_sidebar                                                                                                                       |         31 |      1,305 |        218 |        180 |      1,703 |
| packages/collapsible_sidebar/example                                                                                                               |         22 |        583 |         96 |         77 |        756 |
| packages/collapsible_sidebar/example/android                                                                                                       |         10 |        145 |         42 |         29 |        216 |
| packages/collapsible_sidebar/example/android/app                                                                                                   |          6 |        101 |         41 |         18 |        160 |
| packages/collapsible_sidebar/example/android/app/src                                                                                               |          5 |         52 |         38 |          6 |         96 |
| packages/collapsible_sidebar/example/android/app/src/debug                                                                                         |          1 |          4 |          3 |          1 |          8 |
| packages/collapsible_sidebar/example/android/app/src/main                                                                                          |          3 |         44 |         32 |          4 |         80 |
| packages/collapsible_sidebar/example/android/app/src/main/res                                                                                      |          2 |         13 |         16 |          3 |         32 |
| packages/collapsible_sidebar/example/android/app/src/main/res/drawable                                                                             |          1 |          4 |          7 |          2 |         13 |
| packages/collapsible_sidebar/example/android/app/src/main/res/values                                                                               |          1 |          9 |          9 |          1 |         19 |
| packages/collapsible_sidebar/example/android/app/src/profile                                                                                       |          1 |          4 |          3 |          1 |          8 |
| packages/collapsible_sidebar/example/android/gradle                                                                                                |          1 |          5 |          1 |          1 |          7 |
| packages/collapsible_sidebar/example/android/gradle/wrapper                                                                                        |          1 |          5 |          1 |          1 |          7 |
| packages/collapsible_sidebar/example/ios                                                                                                           |          7 |        222 |          2 |          9 |        233 |
| packages/collapsible_sidebar/example/ios/Runner                                                                                                    |          7 |        222 |          2 |          9 |        233 |
| packages/collapsible_sidebar/example/ios/Runner/Assets.xcassets                                                                                    |          3 |        148 |          0 |          4 |        152 |
| packages/collapsible_sidebar/example/ios/Runner/Assets.xcassets/AppIcon.appiconset                                                                 |          1 |        122 |          0 |          1 |        123 |
| packages/collapsible_sidebar/example/ios/Runner/Assets.xcassets/LaunchImage.imageset                                                               |          2 |         26 |          0 |          3 |         29 |
| packages/collapsible_sidebar/example/ios/Runner/Base.lproj                                                                                         |          2 |         61 |          2 |          2 |         65 |
| packages/collapsible_sidebar/example/lib                                                                                                           |          1 |        133 |          0 |         11 |        144 |
| packages/collapsible_sidebar/example/web                                                                                                           |          2 |         48 |          5 |          5 |         58 |
| packages/collapsible_sidebar/lib                                                                                                                   |          6 |        630 |         90 |         71 |        791 |
| packages/collapsible_sidebar/lib/collapsible_sidebar                                                                                               |          5 |        334 |         90 |         40 |        464 |
| packages/dynamic_theme                                                                                                                             |          6 |        348 |        141 |         69 |        558 |
| packages/dynamic_theme/lib                                                                                                                         |          2 |        172 |         37 |         40 |        249 |
| packages/quill_delta_viewer                                                                                                                        |          3 |        192 |         38 |         26 |        256 |
| packages/quill_delta_viewer/lib                                                                                                                    |          2 |        176 |          6 |         18 |        200 |
| packages/quill_delta_viewer/lib/src                                                                                                                |          1 |        174 |          6 |         16 |        196 |
| packages/responsive_scaffold                                                                                                                       |         31 |        917 |        208 |        157 |      1,282 |
| packages/responsive_scaffold/example                                                                                                               |         27 |        575 |        130 |        100 |        805 |
| packages/responsive_scaffold/example/android                                                                                                       |         12 |        153 |         53 |         31 |        237 |
| packages/responsive_scaffold/example/android/app                                                                                                   |          8 |        110 |         52 |         20 |        182 |
| packages/responsive_scaffold/example/android/app/src                                                                                               |          7 |         64 |         49 |          9 |        122 |
| packages/responsive_scaffold/example/android/app/src/debug                                                                                         |          1 |          4 |          3 |          1 |          8 |
| packages/responsive_scaffold/example/android/app/src/main                                                                                          |          5 |         56 |         43 |          7 |        106 |
| packages/responsive_scaffold/example/android/app/src/main/res                                                                                      |          4 |         26 |         32 |          6 |         64 |
| packages/responsive_scaffold/example/android/app/src/main/res/drawable                                                                             |          1 |          4 |          7 |          2 |         13 |
| packages/responsive_scaffold/example/android/app/src/main/res/drawable-v21                                                                         |          1 |          4 |          7 |          2 |         13 |
| packages/responsive_scaffold/example/android/app/src/main/res/values                                                                               |          1 |          9 |          9 |          1 |         19 |
| packages/responsive_scaffold/example/android/app/src/main/res/values-night                                                                         |          1 |          9 |          9 |          1 |         19 |
| packages/responsive_scaffold/example/android/app/src/profile                                                                                       |          1 |          4 |          3 |          1 |          8 |
| packages/responsive_scaffold/example/android/gradle                                                                                                |          1 |          5 |          1 |          1 |          7 |
| packages/responsive_scaffold/example/android/gradle/wrapper                                                                                        |          1 |          5 |          1 |          1 |          7 |
| packages/responsive_scaffold/example/ios                                                                                                           |          7 |        222 |          2 |          9 |        233 |
| packages/responsive_scaffold/example/ios/Runner                                                                                                    |          7 |        222 |          2 |          9 |        233 |
| packages/responsive_scaffold/example/ios/Runner/Assets.xcassets                                                                                    |          3 |        148 |          0 |          4 |        152 |
| packages/responsive_scaffold/example/ios/Runner/Assets.xcassets/AppIcon.appiconset                                                                 |          1 |        122 |          0 |          1 |        123 |
| packages/responsive_scaffold/example/ios/Runner/Assets.xcassets/LaunchImage.imageset                                                               |          2 |         26 |          0 |          3 |         29 |
| packages/responsive_scaffold/example/ios/Runner/Base.lproj                                                                                         |          2 |         61 |          2 |          2 |         65 |
| packages/responsive_scaffold/example/lib                                                                                                           |          1 |         78 |          5 |          4 |         87 |
| packages/responsive_scaffold/example/linux                                                                                                         |          5 |         94 |         25 |         36 |        155 |
| packages/responsive_scaffold/example/linux/flutter                                                                                                 |          2 |          8 |          7 |          9 |         24 |
| packages/responsive_scaffold/lib                                                                                                                   |          1 |        314 |         46 |         42 |        402 |
| snap                                                                                                                                               |          1 |         22 |          0 |          3 |         25 |
| test                                                                                                                                               |          4 |        486 |          7 |         66 |        559 |
| web                                                                                                                                                |          2 |         49 |         15 |          6 |         70 |
+----------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                                           | language   | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| /Users/simonwachtler/digitales-register/.gradle/4.10.3/gc.properties                                                                                              | Properties |          0 |          0 |          1 |          1 |
| /Users/simonwachtler/digitales-register/.gradle/5.2.1/gc.properties                                                                                               | Properties |          0 |          0 |          1 |          1 |
| /Users/simonwachtler/digitales-register/.gradle/buildOutputCleanup/cache.properties                                                                               | Properties |          1 |          1 |          1 |          3 |
| /Users/simonwachtler/digitales-register/.gradle/vcs-1/gc.properties                                                                                               | Properties |          0 |          0 |          1 |          1 |
| /Users/simonwachtler/digitales-register/README.md                                                                                                                 | Markdown   |          9 |          0 |          5 |         14 |
| /Users/simonwachtler/digitales-register/android/app/build.gradle                                                                                                  | Groovy     |         68 |          0 |         13 |         81 |
| /Users/simonwachtler/digitales-register/android/app/src/debug/AndroidManifest.xml                                                                                 | XML        |          4 |          3 |          1 |          8 |
| /Users/simonwachtler/digitales-register/android/app/src/main/AndroidManifest.xml                                                                                  | XML        |         40 |         11 |          2 |         53 |
| /Users/simonwachtler/digitales-register/android/app/src/main/res/drawable-night/launch_background.xml                                                             | XML        |          4 |          0 |          3 |          7 |
| /Users/simonwachtler/digitales-register/android/app/src/main/res/drawable-v21/launch_background.xml                                                               | XML        |          4 |          7 |          2 |         13 |
| /Users/simonwachtler/digitales-register/android/app/src/main/res/drawable/launch_background.xml                                                                   | XML        |          4 |          7 |          2 |         13 |
| /Users/simonwachtler/digitales-register/android/app/src/main/res/values-night/colors.xml                                                                          | XML        |          4 |          0 |          0 |          4 |
| /Users/simonwachtler/digitales-register/android/app/src/main/res/values-night/styles.xml                                                                          | XML        |          9 |          9 |          1 |         19 |
| /Users/simonwachtler/digitales-register/android/app/src/main/res/values/colors.xml                                                                                | XML        |          4 |          0 |          0 |          4 |
| /Users/simonwachtler/digitales-register/android/app/src/main/res/values/styles.xml                                                                                | XML        |          9 |          9 |          1 |         19 |
| /Users/simonwachtler/digitales-register/android/app/src/profile/AndroidManifest.xml                                                                               | XML        |          4 |          3 |          1 |          8 |
| /Users/simonwachtler/digitales-register/android/build.gradle                                                                                                      | Groovy     |         27 |          0 |          5 |         32 |
| /Users/simonwachtler/digitales-register/android/gradle.properties                                                                                                 | Properties |          3 |          0 |          1 |          4 |
| /Users/simonwachtler/digitales-register/android/gradle/wrapper/gradle-wrapper.properties                                                                          | Properties |          5 |          1 |          1 |          7 |
| /Users/simonwachtler/digitales-register/android/settings.gradle                                                                                                   | Groovy     |          8 |          0 |          4 |         12 |
| /Users/simonwachtler/digitales-register/android/settings_aar.gradle                                                                                               | Groovy     |          1 |          0 |          1 |          2 |
| /Users/simonwachtler/digitales-register/ios/.symlinks/plugins/biometric_storage/.idea/codeStyles/Project.xml                                                      | XML        |        116 |          0 |          0 |        116 |
| /Users/simonwachtler/digitales-register/ios/.symlinks/plugins/biometric_storage/.idea/codeStyles/codeStyleConfig.xml                                              | XML        |          5 |          0 |          0 |          5 |
| /Users/simonwachtler/digitales-register/ios/.symlinks/plugins/biometric_storage/.idea/runConfigurations/example_lib_main_dart.xml                                 | XML        |          6 |          0 |          0 |          6 |
| /Users/simonwachtler/digitales-register/ios/.symlinks/plugins/biometric_storage/.idea/vcs.xml                                                                     | XML        |          6 |          0 |          0 |          6 |
| /Users/simonwachtler/digitales-register/ios/Runner/AppDelegate.swift                                                                                              | Swift      |         12 |          0 |          2 |         14 |
| /Users/simonwachtler/digitales-register/ios/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json                                                               | JSON       |        122 |          0 |          1 |        123 |
| /Users/simonwachtler/digitales-register/ios/Runner/Assets.xcassets/LaunchBackground.imageset/Contents.json                                                        | JSON       |         52 |          0 |          1 |         53 |
| /Users/simonwachtler/digitales-register/ios/Runner/Assets.xcassets/LaunchImage.imageset/Contents.json                                                             | JSON       |         56 |          0 |          1 |         57 |
| /Users/simonwachtler/digitales-register/ios/Runner/Assets.xcassets/LaunchImage.imageset/README.md                                                                 | Markdown   |          3 |          0 |          2 |          5 |
| /Users/simonwachtler/digitales-register/ios/Runner/Base.lproj/LaunchScreen.storyboard                                                                             | XML        |         44 |          1 |          0 |         45 |
| /Users/simonwachtler/digitales-register/ios/Runner/Base.lproj/Main.storyboard                                                                                     | XML        |         25 |          1 |          1 |         27 |
| /Users/simonwachtler/digitales-register/ios/Runner/Runner-Bridging-Header.h                                                                                       | C++        |          1 |          0 |          1 |          2 |
| /Users/simonwachtler/digitales-register/lib/actions/absences_actions.dart                                                                                         | Dart       |          8 |          0 |          4 |         12 |
| /Users/simonwachtler/digitales-register/lib/actions/app_actions.dart                                                                                              | Dart       |         43 |          0 |          4 |         47 |
| /Users/simonwachtler/digitales-register/lib/actions/calendar_actions.dart                                                                                         | Dart       |          9 |          0 |          4 |         13 |
| /Users/simonwachtler/digitales-register/lib/actions/certificate_actions.dart                                                                                      | Dart       |          8 |          0 |          4 |         12 |
| /Users/simonwachtler/digitales-register/lib/actions/dashboard_actions.dart                                                                                        | Dart       |         61 |          0 |         13 |         74 |
| /Users/simonwachtler/digitales-register/lib/actions/grades_actions.dart                                                                                           | Dart       |         71 |          0 |         15 |         86 |
| /Users/simonwachtler/digitales-register/lib/actions/login_actions.dart                                                                                            | Dart       |         90 |          1 |         16 |        107 |
| /Users/simonwachtler/digitales-register/lib/actions/messages_actions.dart                                                                                         | Dart       |         13 |          0 |          5 |         18 |
| /Users/simonwachtler/digitales-register/lib/actions/notifications_actions.dart                                                                                    | Dart       |         11 |          0 |          5 |         16 |
| /Users/simonwachtler/digitales-register/lib/actions/profile_actions.dart                                                                                          | Dart       |         26 |          1 |          7 |         34 |
| /Users/simonwachtler/digitales-register/lib/actions/routing_actions.dart                                                                                          | Dart       |         37 |          1 |          7 |         45 |
| /Users/simonwachtler/digitales-register/lib/actions/save_pass_actions.dart                                                                                        | Dart       |          8 |          0 |          4 |         12 |
| /Users/simonwachtler/digitales-register/lib/actions/settings_actions.dart                                                                                         | Dart       |         25 |          0 |          5 |         30 |
| /Users/simonwachtler/digitales-register/lib/app_state.dart                                                                                                        | Dart       |        311 |          8 |         43 |        362 |
| /Users/simonwachtler/digitales-register/lib/container/absence_group_container.dart                                                                                | Dart       |         76 |          0 |          6 |         82 |
| /Users/simonwachtler/digitales-register/lib/container/absences_page_container.dart                                                                                | Dart       |         22 |          0 |          3 |         25 |
| /Users/simonwachtler/digitales-register/lib/container/calendar_container.dart                                                                                     | Dart       |         51 |          0 |          6 |         57 |
| /Users/simonwachtler/digitales-register/lib/container/calendar_week_container.dart                                                                                | Dart       |         51 |          1 |         10 |         62 |
| /Users/simonwachtler/digitales-register/lib/container/certificate_container.dart                                                                                  | Dart       |         24 |          0 |          5 |         29 |
| /Users/simonwachtler/digitales-register/lib/container/change_email_container.dart                                                                                 | Dart       |         25 |          0 |          3 |         28 |
| /Users/simonwachtler/digitales-register/lib/container/chart_legend_container.dart                                                                                 | Dart       |         21 |          0 |          3 |         24 |
| /Users/simonwachtler/digitales-register/lib/container/chart_legend_entry_container.dart                                                                           | Dart       |         51 |          0 |          8 |         59 |
| /Users/simonwachtler/digitales-register/lib/container/days_container.dart                                                                                         | Dart       |        119 |          2 |         12 |        133 |
| /Users/simonwachtler/digitales-register/lib/container/drawer_buttons.dart                                                                                         | Dart       |        120 |          0 |         15 |        135 |
| /Users/simonwachtler/digitales-register/lib/container/grades_chart_container.dart                                                                                 | Dart       |         53 |          0 |         10 |         63 |
| /Users/simonwachtler/digitales-register/lib/container/grades_page_container.dart                                                                                  | Dart       |         70 |          0 |          9 |         79 |
| /Users/simonwachtler/digitales-register/lib/container/home_page.dart                                                                                              | Dart       |         35 |          0 |          8 |         43 |
| /Users/simonwachtler/digitales-register/lib/container/homework_filter_container.dart                                                                              | Dart       |         39 |          0 |          7 |         46 |
| /Users/simonwachtler/digitales-register/lib/container/login_page.dart                                                                                             | Dart       |         68 |          0 |          7 |         75 |
| /Users/simonwachtler/digitales-register/lib/container/messages_container.dart                                                                                     | Dart       |         25 |          0 |          3 |         28 |
| /Users/simonwachtler/digitales-register/lib/container/network_protocol_container.dart                                                                             | Dart       |         18 |          0 |          3 |         21 |
| /Users/simonwachtler/digitales-register/lib/container/notification_icon_container.dart                                                                            | Dart       |         21 |          0 |          3 |         24 |
| /Users/simonwachtler/digitales-register/lib/container/notifications_page_container.dart                                                                           | Dart       |         30 |          0 |          3 |         33 |
| /Users/simonwachtler/digitales-register/lib/container/pass_reset_container.dart                                                                                   | Dart       |         21 |          0 |          3 |         24 |
| /Users/simonwachtler/digitales-register/lib/container/profile_container.dart                                                                                      | Dart       |         26 |          0 |          3 |         29 |
| /Users/simonwachtler/digitales-register/lib/container/request_pass_reset_container.dart                                                                           | Dart       |         27 |          0 |          3 |         30 |
| /Users/simonwachtler/digitales-register/lib/container/settings_page.dart                                                                                          | Dart       |        105 |          0 |          6 |        111 |
| /Users/simonwachtler/digitales-register/lib/container/sidebar_container.dart                                                                                      | Dart       |         66 |          0 |          7 |         73 |
| /Users/simonwachtler/digitales-register/lib/container/sorted_grades_container.dart                                                                                | Dart       |         56 |          0 |          9 |         65 |
| /Users/simonwachtler/digitales-register/lib/data.dart                                                                                                             | Dart       |        466 |         28 |         62 |        556 |
| /Users/simonwachtler/digitales-register/lib/desktop.dart                                                                                                          | Dart       |         82 |          3 |         12 |         97 |
| /Users/simonwachtler/digitales-register/lib/main.dart                                                                                                             | Dart       |        167 |          2 |          9 |        178 |
| /Users/simonwachtler/digitales-register/lib/middleware/absences.dart                                                                                              | Dart       |         15 |          0 |          3 |         18 |
| /Users/simonwachtler/digitales-register/lib/middleware/calendar.dart                                                                                              | Dart       |         16 |          0 |          5 |         21 |
| /Users/simonwachtler/digitales-register/lib/middleware/certificate.dart                                                                                           | Dart       |         15 |          0 |          3 |         18 |
| /Users/simonwachtler/digitales-register/lib/middleware/dashboard.dart                                                                                             | Dart       |        161 |          1 |         13 |        175 |
| /Users/simonwachtler/digitales-register/lib/middleware/grades.dart                                                                                                | Dart       |        179 |          0 |         15 |        194 |
| /Users/simonwachtler/digitales-register/lib/middleware/login.dart                                                                                                 | Dart       |        172 |          1 |         10 |        183 |
| /Users/simonwachtler/digitales-register/lib/middleware/messages.dart                                                                                              | Dart       |         40 |          0 |          6 |         46 |
| /Users/simonwachtler/digitales-register/lib/middleware/middleware.dart                                                                                            | Dart       |        424 |          4 |         30 |        458 |
| /Users/simonwachtler/digitales-register/lib/middleware/notifications.dart                                                                                         | Dart       |         43 |          0 |          7 |         50 |
| /Users/simonwachtler/digitales-register/lib/middleware/pass.dart                                                                                                  | Dart       |         66 |          0 |          6 |         72 |
| /Users/simonwachtler/digitales-register/lib/middleware/profile.dart                                                                                               | Dart       |         55 |          0 |          5 |         60 |
| /Users/simonwachtler/digitales-register/lib/middleware/routing.dart                                                                                               | Dart       |        129 |          2 |         19 |        150 |
| /Users/simonwachtler/digitales-register/lib/reducer/absences.dart                                                                                                 | Dart       |         66 |          0 |          5 |         71 |
| /Users/simonwachtler/digitales-register/lib/reducer/calendar.dart                                                                                                 | Dart       |         67 |         11 |          8 |         86 |
| /Users/simonwachtler/digitales-register/lib/reducer/certificate.dart                                                                                              | Dart       |         12 |          0 |          4 |         16 |
| /Users/simonwachtler/digitales-register/lib/reducer/dashboard.dart                                                                                                | Dart       |        336 |          4 |         25 |        365 |
| /Users/simonwachtler/digitales-register/lib/reducer/grades.dart                                                                                                   | Dart       |        199 |          3 |         17 |        219 |
| /Users/simonwachtler/digitales-register/lib/reducer/login.dart                                                                                                    | Dart       |         71 |          0 |         12 |         83 |
| /Users/simonwachtler/digitales-register/lib/reducer/messages.dart                                                                                                 | Dart       |         84 |          0 |          9 |         93 |
| /Users/simonwachtler/digitales-register/lib/reducer/network_protocol.dart                                                                                         | Dart       |         12 |          0 |          4 |         16 |
| /Users/simonwachtler/digitales-register/lib/reducer/notifications.dart                                                                                            | Dart       |         48 |          0 |          8 |         56 |
| /Users/simonwachtler/digitales-register/lib/reducer/pass_reset.dart                                                                                               | Dart       |         39 |          0 |          7 |         46 |
| /Users/simonwachtler/digitales-register/lib/reducer/profile_reducer.dart                                                                                          | Dart       |         28 |          0 |          6 |         34 |
| /Users/simonwachtler/digitales-register/lib/reducer/reducer.dart                                                                                                  | Dart       |         43 |          0 |          7 |         50 |
| /Users/simonwachtler/digitales-register/lib/reducer/settings.dart                                                                                                 | Dart       |        144 |          0 |         24 |        168 |
| /Users/simonwachtler/digitales-register/lib/serializers.dart                                                                                                      | Dart       |         37 |          4 |          7 |         48 |
| /Users/simonwachtler/digitales-register/lib/ui/absence.dart                                                                                                       | Dart       |         67 |          0 |          4 |         71 |
| /Users/simonwachtler/digitales-register/lib/ui/absences_page.dart                                                                                                 | Dart       |         94 |          0 |          9 |        103 |
| /Users/simonwachtler/digitales-register/lib/ui/calendar.dart                                                                                                      | Dart       |        291 |          4 |         26 |        321 |
| /Users/simonwachtler/digitales-register/lib/ui/calendar_week.dart                                                                                                 | Dart       |        234 |          0 |          9 |        243 |
| /Users/simonwachtler/digitales-register/lib/ui/certificate.dart                                                                                                   | Dart       |         25 |          0 |          4 |         29 |
| /Users/simonwachtler/digitales-register/lib/ui/change_email.dart                                                                                                  | Dart       |         48 |          0 |          5 |         53 |
| /Users/simonwachtler/digitales-register/lib/ui/days.dart                                                                                                          | Dart       |        892 |          6 |         37 |        935 |
| /Users/simonwachtler/digitales-register/lib/ui/dialog.dart                                                                                                        | Dart       |         48 |          1 |          3 |         52 |
| /Users/simonwachtler/digitales-register/lib/ui/drawer_buttons_widgets.dart                                                                                        | Dart       |        118 |          0 |         16 |        134 |
| /Users/simonwachtler/digitales-register/lib/ui/grades_chart.dart                                                                                                  | Dart       |        176 |          0 |          7 |        183 |
| /Users/simonwachtler/digitales-register/lib/ui/grades_chart_legend.dart                                                                                           | Dart       |         26 |          0 |          3 |         29 |
| /Users/simonwachtler/digitales-register/lib/ui/grades_chart_legend_entry.dart                                                                                     | Dart       |         77 |          2 |          4 |         83 |
| /Users/simonwachtler/digitales-register/lib/ui/grades_chart_page.dart                                                                                             | Dart       |         23 |          0 |          3 |         26 |
| /Users/simonwachtler/digitales-register/lib/ui/grades_page.dart                                                                                                   | Dart       |         79 |          0 |          4 |         83 |
| /Users/simonwachtler/digitales-register/lib/ui/home_page_content.dart                                                                                             | Dart       |         32 |          0 |          5 |         37 |
| /Users/simonwachtler/digitales-register/lib/ui/homework_filter.dart                                                                                               | Dart       |         74 |          0 |          8 |         82 |
| /Users/simonwachtler/digitales-register/lib/ui/login_page_content.dart                                                                                            | Dart       |        319 |          2 |          8 |        329 |
| /Users/simonwachtler/digitales-register/lib/ui/messages.dart                                                                                                      | Dart       |        193 |          0 |         12 |        205 |
| /Users/simonwachtler/digitales-register/lib/ui/network_protocol.dart                                                                                              | Dart       |         72 |          0 |          8 |         80 |
| /Users/simonwachtler/digitales-register/lib/ui/network_protocol_page.dart                                                                                         | Dart       |         13 |          0 |          3 |         16 |
| /Users/simonwachtler/digitales-register/lib/ui/no_internet.dart                                                                                                   | Dart       |         28 |          0 |          2 |         30 |
| /Users/simonwachtler/digitales-register/lib/ui/notification_icon.dart                                                                                             | Dart       |         24 |          0 |          3 |         27 |
| /Users/simonwachtler/digitales-register/lib/ui/notifications_page.dart                                                                                            | Dart       |        139 |          0 |          6 |        145 |
